Category,Resume,WordCount
Data Science,"Skills * Programming Languages: Python (pandas, numpy, scipy, scikit-learn, matplotlib), Sql, Java, JavaScript/JQuery. * Machine learning: Regression, SVM, NaÃ¯ve Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language processing, Dimensionality reduction, Topic Modelling (LDA, NMF), PCA & Neural Nets. * Database Visualizations: Mysql, SqlServer, Cassandra, Hbase, ElasticSearch D3.js, DC.js, Plotly, kibana, matplotlib, ggplot, Tableau. * Others: Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision - Open CV and understanding of Deep learning.Education Details 

Data Science Assurance Associate 

Data Science Assurance Associate - Ernst & Young LLP
Skill Details 
JAVASCRIPT- Exprience - 24 months
jQuery- Exprience - 24 months
Python- Exprience - 24 monthsCompany Details 
company - Ernst & Young LLP
description - Fraud Investigations and Dispute Services   Assurance
TECHNOLOGY ASSISTED REVIEW
TAR (Technology Assisted Review) assists in accelerating the review process and run analytics and generate reports.
* Core member of a team helped in developing automated review platform tool from scratch for assisting E discovery domain, this tool implements predictive coding and topic modelling by automating reviews, resulting in reduced labor costs and time spent during the lawyers review.
* Understand the end to end flow of the solution, doing research and development for classification models, predictive analysis and mining of the information present in text data. Worked on analyzing the outputs and precision monitoring for the entire tool.
* TAR assists in predictive coding, topic modelling from the evidence by following EY standards. Developed the classifier models in order to identify ""red flags"" and fraud-related issues.

Tools & Technologies: Python, scikit-learn, tfidf, word2vec, doc2vec, cosine similarity, NaÃ¯ve Bayes, LDA, NMF for topic modelling, Vader and text blob for sentiment analysis. Matplot lib, Tableau dashboard for reporting.

MULTIPLE DATA SCIENCE AND ANALYTIC PROJECTS (USA CLIENTS)
TEXT ANALYTICS - MOTOR VEHICLE CUSTOMER REVIEW DATA * Received customer feedback survey data for past one year. Performed sentiment (Positive, Negative & Neutral) and time series analysis on customer comments across all 4 categories.
* Created heat map of terms by survey category based on frequency of words * Extracted Positive and Negative words across all the Survey categories and plotted Word cloud.
* Created customized tableau dashboards for effective reporting and visualizations.
CHATBOT * Developed a user friendly chatbot for one of our Products which handle simple questions about hours of operation, reservation options and so on.
* This chat bot serves entire product related questions. Giving overview of tool via QA platform and also give recommendation responses so that user question to build chain of relevant answer.
* This too has intelligence to build the pipeline of questions as per user requirement and asks the relevant /recommended questions.

Tools & Technologies: Python, Natural language processing, NLTK, spacy, topic modelling, Sentiment analysis, Word Embedding, scikit-learn, JavaScript/JQuery, SqlServer

INFORMATION GOVERNANCE
Organizations to make informed decisions about all of the information they store. The integrated Information Governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk.
* Scan data from multiple sources of formats and parse different file formats, extract Meta data information, push results for indexing elastic search and created customized, interactive dashboards using kibana.
* Preforming ROT Analysis on the data which give information of data which helps identify content that is either Redundant, Outdated, or Trivial.
* Preforming full-text search analysis on elastic search with predefined methods which can tag as (PII) personally identifiable information (social security numbers, addresses, names, etc.) which frequently targeted during cyber-attacks.
Tools & Technologies: Python, Flask, Elastic Search, Kibana

FRAUD ANALYTIC PLATFORM
Fraud Analytics and investigative platform to review all red flag cases.
â¢ FAP is a Fraud Analytics and investigative platform with inbuilt case manager and suite of Analytics for various ERP systems.
* It can be used by clients to interrogate their Accounting systems for identifying the anomalies which can be indicators of fraud by running advanced analytics
Tools & Technologies: HTML, JavaScript, SqlServer, JQuery, CSS, Bootstrap, Node.js, D3.js, DC.js",670
Data Science,"Education Details 
May 2013 to May 2017 B.E   UIT-RGPV
Data Scientist 

Data Scientist - Matelabs
Skill Details 
Python- Exprience - Less than 1 year months
Statsmodels- Exprience - 12 months
AWS- Exprience - Less than 1 year months
Machine learning- Exprience - Less than 1 year months
Sklearn- Exprience - Less than 1 year months
Scipy- Exprience - Less than 1 year months
Keras- Exprience - Less than 1 year monthsCompany Details 
company - Matelabs
description - ML Platform for business professionals, dummies and enthusiasts.
60/A Koramangala 5th block,
Achievements/Tasks behind sukh sagar, Bengaluru,
India                               Developed and deployed auto preprocessing steps of machine learning mainly missing value
treatment, outlier detection, encoding, scaling, feature selection and dimensionality reduction.
Deployed automated classification and regression model.
linkedin.com/in/aditya-rathore-
b4600b146                           Reasearch and deployed the time series forecasting model ARIMA, SARIMAX, Holt-winter and
Prophet.
Worked on meta-feature extracting problem.
github.com/rathorology
Implemented a state of the art research paper on outlier detection for mixed attributes.
company - Matelabs
description - ",163
Data Science,"Areas of Interest Deep Learning, Control System Design, Programming in-Python, Electric Machinery, Web Development, Analytics Technical Activities q Hindustan Aeronautics Limited, Bangalore - For 4 weeks under the guidance of Mr. Satish, Senior Engineer in the hangar of Mirage 2000 fighter aircraft Technical Skills Programming Matlab, Python and Java, LabView, Python WebFrameWork-Django, Flask, LTSPICE-intermediate Languages and and MIPOWER-intermediate, Github (GitBash), Jupyter Notebook, Xampp, MySQL-Basics, Python Software Packages Interpreters-Anaconda, Python2, Python3, Pycharm, Java IDE-Eclipse Operating Systems Windows, Ubuntu, Debian-Kali Linux Education Details 
January 2019 B.Tech. Electrical and Electronics Engineering  Manipal Institute of Technology
January 2015    DEEKSHA CENTER
January 2013    Little Flower Public School
August 2000    Manipal Academy of Higher
DATA SCIENCE 

DATA SCIENCE AND ELECTRICAL ENTHUSIAST
Skill Details 
Data Analysis- Exprience - Less than 1 year months
excel- Exprience - Less than 1 year months
Machine Learning- Exprience - Less than 1 year months
mathematics- Exprience - Less than 1 year months
Python- Exprience - Less than 1 year months
Matlab- Exprience - Less than 1 year months
Electrical Engineering- Exprience - Less than 1 year months
Sql- Exprience - Less than 1 year monthsCompany Details 
company - THEMATHCOMPANY
description - I am currently working with a Casino based operator(name not to be disclosed) in Macau.I need to segment the customers who visit their property based on the value the patrons bring into the company.Basically prove that the segmentation can be done in much better way than the current system which they have with proper numbers to back it up.Henceforth they can implement target marketing strategy to attract their customers who add value to the business.",265
Data Science,"Skills â¢ Python â¢ Tableau â¢ Data Visualization â¢ R Studio â¢ Machine Learning â¢ Statistics IABAC Certified Data Scientist with versatile experience over 1+ years in managing business, data science consulting and leading innovation projects, bringing business ideas to working real world solutions. Being a strong advocator of augmented era, where human capabilities are enhanced by machines, Fahed is passionate about bringing business concepts in area of machine learning, AI, robotics etc., to real life solutions.Education Details 
January 2017 B. Tech Computer Science & Engineering Mohali, Punjab Indo Global College of Engineering
Data Science Consultant 

Data Science Consultant - Datamites
Skill Details 
MACHINE LEARNING- Exprience - 13 months
PYTHON- Exprience - 24 months
SOLUTIONS- Exprience - 24 months
DATA SCIENCE- Exprience - 24 months
DATA VISUALIZATION- Exprience - 24 months
Tableau- Exprience - 24 monthsCompany Details 
company - Datamites
description - â¢ Analyzed and processed complex data sets using advanced querying, visualization and analytics tools.
â¢ Responsible for loading, extracting and validation of client data.
â¢ Worked on manipulating, cleaning & processing data using python.
â¢ Used Tableau for data visualization.
company - Heretic Solutions Pvt Ltd
description - â¢ Worked closely with business to identify issues and used data to propose solutions for effective decision making.
â¢ Manipulating, cleansing & processing data using Python, Excel and R.
â¢ Analyzed raw data, drawing conclusions & developing recommendations.
â¢ Used machine learning tools and statistical techniques to produce solutions to problems.",241
Data Science,"Personal Skills â¢ Ability to quickly grasp technical aspects and willingness to learn â¢ High energy levels & Result oriented. Education Details 
January 2018 Master of Engineering Computer Technology & Application Bhopal, Madhya Pradesh Truba Institute of Engineering & Information Technology
January 2010 B.E. computer science Bhopal, Madhya Pradesh RKDF Institute of Science and Technology College of Engineering
January 2006 Polytechnic Information Technology Vidisha, Madhya Pradesh SATI Engineering College in Vidisha
January 2003 M.tech Thesis Detail  BMCH School in Ganj basoda
Data science 

I have six month experience in Data Science. Key Skills: - Experience in Machine Learning, Deep Leaning, NLP, Python, SQL, Web Scraping Good knowledge in computer subjects and ability to update
Skill Details 
Experience in Machine Learning, Deep Learning, NLP, Python, SQL, Web Crawling, HTML,CSS.- Exprience - Less than 1 year monthsCompany Details 
company - RNT.AI Technology Solution
description - Text classification using Machine learning Algorithms with python.
Practical knowledge of Deep learning algorithms such as Â Recurrent Neural Networks(RNN).
Develop custom data models and algorithms to apply to dataset
Experience with Python packages like Pandas, Scikit-learn, Tensor Flow, Numpy, Matplotliv, NLTK.
Comfort with SQL, Â MYSQL
Sentiment analysis.
Â Apply leave Dataset using classification technique like Tf--idf , LSA with cosine similarity using Machine learning Algorithms.
Web crawling using Selenium web driver and Beautiful Soup with python.
company - Life Insurance Corporation of India Bhopal
description - Ã¼Â Explaining policy features and the benefits
Ã¼ Updated knowledge of life insurance products and shared with customers",249
Data Science,"Expertise â Data and Quantitative Analysis â Decision Analytics â Predictive Modeling â Data-Driven Personalization â KPI Dashboards â Big Data Queries and Interpretation â Data Mining and Visualization Tools â Machine Learning Algorithms â Business Intelligence (BI) â Research, Reports and Forecasts Education Details 
 PGP in Data Science  Mumbai, Maharashtra Aegis School of data science & Business
 B.E. in Electronics & Communication Electronics & Communication Indore, Madhya Pradesh IES IPS Academy
Data Scientist 

Data Scientist with PR Canada
Skill Details 
Algorithms- Exprience - 6 months
BI- Exprience - 6 months
Business Intelligence- Exprience - 6 months
Machine Learning- Exprience - 24 months
Visualization- Exprience - 24 months
spark- Exprience - 24 months
python- Exprience - 36 months
tableau- Exprience - 36 months
Data Analysis- Exprience - 24 monthsCompany Details 
company - Aegis school of Data Science & Business
description - Mostly working on industry project for providing solution along with Teaching Appointments: Teach undergraduate and graduate-level courses in Spark and Machine Learning as an adjunct faculty member at Aegis School of Data Science, Mumbai (2017 to Present)
company - Aegis school of Data & Business
description - Data Science Intern, Nov 2015 to Jan 2016

Furnish executive leadership team with insights, analytics, reports and recommendations enabling effective strategic planning across all business units, distribution channels and product lines.

â Chat Bot using AWS LEX and Tensor flow  Python
The goal of project creates a chat bot for an academic institution or university to handle queries related courses offered by that institute. The objective of this task is to reduce human efforts as well as reduce man made errors. Even by this companies handle their client 24x7. In this case companies are academic institutions and clients are participants or students.
â Web scraping using Selenium web driver   Python
The task is to scrap the data from the online messaging portal in a text format and have to find the pattern form it.
â Data Visualization and Data insights   Hadoop Eco System, Hive, PySpark, QlikSense
The goal of this project is to build a Business Solutions to a Internet Service Provider Company, like handling data which is generated per day basis, for that we have to visualize that data and find the usage pattern form it and have a generate a reports.
â Image Based Fraud Detection   Microsoft Face API, PySpark, Open CV
The main goal of project is Recognize similarity for a face to given Database images. Face recognition is the recognizing a special face from set of different faces. Face is extracted and then compared with the database Image if that Image recognized then the person already applied for loan from somewhere else and now hiding his or her identity, this is how we are going to prevent the frauds in the initial stage itself.
â Churn Analysis for Internet Service Provider   R, Python, Machine Learning, Hadoop
The objective is to identify the customer who is likely to churn in a given period of time; we have to pretend the customer giving incentive offers.
â Sentiment Analysis   Python, NLP, Apache Spark service in IBM Bluemix.
This project is highly emphasis on tweets from Twitter data were taken for mobile networks service provider to do a sentiment analysis and analyze whether the expressed opinion was positive, negative or neutral, capture the emotions of the tweets and comparative analysis.

Quantifiable Results:
â Mentored 7-12 Data Science Enthusiast each year that have all since gone on to graduate school in Data Science and Business Analytics.
â Reviewed and evaluated 20-40 Research Papers on Data Science for one of the largest Data Science Conference called Data Science Congress by Aegis School of Business Mumbai.
â Heading a solution providing organization called Data Science Delivered into Aegis school of Data Science Mumbai and managed 4-5 live projects using Data Science techniques.
â Working for some social cause with the help of Data Science for Social Goods Committee, where our team developed a product called ""Let's find a missing Child"" for helping society.
company - IBM India pvt ltd
description - Mostly worked on blumix and IBM Watson for Data science.",686
Web Designing,"Technical Skills Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript. Software: Brackets, Visual Studio, Photoshop, Visual Studio Code Education Details 
January 2015 B.E CSE Nagpur, Maharashtra G.H.Raisoni College of Engineering
October 2009  Photography Competition Click Nagpur, Maharashtra Maharashtra State Board
    College Magazine OCEAN
Web Designer 

Web Designer - Trust Systems and Software
Skill Details 
PHOTOSHOP- Exprience - 28 months
BOOTSTRAP- Exprience - 6 months
HTML5- Exprience - 6 months
JAVASCRIPT- Exprience - 6 months
CSS3- Exprience - Less than 1 year months
Angular 4- Exprience - Less than 1 year monthsCompany Details 
company - Trust Systems and Software
description - Projects worked on:
1. TrustBank-CBS
Project Description: TrustBank-CBS is a core banking solution by Trust Systems.
Roles and Responsibility:
â Renovated complete UI to make it more modern, user-friendly, maintainable and optimised for bank use.
â Shared the UI structure and guidelines to be incorporated, with development team of around 50
members.
â Achieved the target of project completion in given time frame.
â Made required graphics for the project in photoshop

2. Loan Bazar (Loan Appraisal)
Project Description: Loan Bazar is a MVC-based application dedicated to creating and managing
loan applications. The goal of this application is to streamline the process of loan application and integrate with existing CBS.
Roles and Responsibility
â Designed and developed modern and responsive UI of entire application and achieved the target in given time frame.
â Made required graphics for the project in photoshop
3. Capital Security Bond Application
Project Description: Capital Security Bond Application is a MVC based application which provided an online platform to purchase gold bond
Roles and Responsibility:
â Designed and developed modern and responsive UI of entire application and achieved the target in given time frame.
â Made required graphics for the project in photoshop

4. SoftGST
Project Description: SoftGST (Web Based Application) is an ASP application to every tax
payers and its vendors for generating the GSTR returns on the basis of sales / purchase
data, additionally the application can do the reconciliation of GSTR 2 A with purchase register.
Roles and Responsibility:
â Designed and developed the UI of Dashboard.

5. Trust Analytica:
Project Description: Trust Analytika is the mobile web app that shows bank asset, liability,
income, expenses.
Roles and Responsibility:
â Designed and developed the landing page of the application.
â Supported the developers in UI implementation

6. Website's:
Project Name:
1. TSR Technology Services - http://tsrtechnologyservices.com
2. Vidarbha Merchants Urban Co-Op Bank - http://vmcbank.com
3. GISSS - http://gisss.co.in
4. Softtrust USA - http://softtrustusa.com
Roles and Responsibility
â Communicated with clients to understand their requirement
â Made mocks for the website
â Designed and developed complete website and hosted them in stipulated time.
company - www.jalloshband.com
description - Project Name:
1. Jallosh Band - www.jalloshband.com
2. An Endeavor Foundation
Roles and Responsibility:
â Communicated with clients to understand their requirement
â Made mocks for the website
â Designed and developed complete website and hosted them in stipulated time.
company - 10MagicalFingers
description - National and international client interaction.
â Management of digital data",511
Web Designing,"Education Details 
 B.C.A Bachelor Computer Application Pune, Maharashtra Pune University
 H.S.C.  Pune, Maharashtra Pune University
 S.S.C.  Pune, Maharashtra Pune University
Web Designing and Developer 

php Developer - Exposys Pvt. Ltd
Skill Details 
Company Details 
company - Exposys Pvt. Ltd
description - Technical Skills
Web Development: HTML5, CSS3, Bootstrap, PHP, Ajax, Jquery, JavaScript.
Database: MySQL.
Development Tools: Notepad++, Sublime Text2.
Framework: Codeigniter.
Server: Apache tomcat, Xampp Control Panel.
Operating Systems: Windows.
company - Exposys Pvt. Ltd
description - Pune.	Augest 2017 to till date

Project Details:
Project-I: Pragat Bharat System
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX.
Database Used: My SQL.
Team size: 1
Position: Software Developer
Synopsis: This project aim is specially design for people. It is used to collect information to diifernt sector.

Project-II: Go Ayur System
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX.
Database Used: My SQL.
Team size: 2
Position: Software Developer
Synopsis: Go Ayurveda Panchakarma center is one of most traditionally well established, professional and innovative providers of Classical
Ayurvedic Health services and Kerala Panchakarma therapies.

Project-III: Vitsanindia System
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.
Database Used: My SQL.
Team size: 2
Position: Software Developer
Synopsis: Online Shooping through app. This app is user friendly because there is a option for change language. User can to find different categories products as there choice.

Project-IV: MahabaleshwarTours
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.
Database Used: My SQL.
Team size: 1
Position: Software Developer
Synopsis: In this system is to provide Online Registration, Tour Package Information, Ticket Booking, Online Payment and Searching Facility for Customer and also Generate Different types of Report.

Project-V: Cityspaceindia
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.
Database Used: My SQL.
Team size: 1
Position: Software Developer
Synopsis: Service provider website we provide different categories.

Project-VI: Fruitsbuddy
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.
Database Used: My SQL.
Team size: 1
Position: Software Developer
Synopsis: Fruitbuddy is to manage the details of fruits, Customer, Order, Transaction, Payment. It manages all the information about fruits, Stocks, Payment. The project is totally built at administrative end and thus only the administrator is guaranteed the access. The purpose of the project is to build an application program to reduce the manual work for managing the fruits, Customer, Stocks, Order.

Project-VII: Totalcitee
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.
Database Used: My SQL.
Team size: 1
Position: Software Developer
Synopsis: Real Estate web application has been created for helping you to sell properties through web based user interface. Visitors on your website can view particular desired products using search engine facility.

Project-VIII: Golchha
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.
Database Used: My SQL.
Team size: 1
Position: Software Developer
Synopsis: Service provider website we provide different categories.",471
Web Designing,"IT SKILLS Languages: C (Basic), JAVA (Basic) Web Technologies: HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator Databases: MySQL5.0 IDE & Tools: Sublime Text, Notepad Operating Systems: Windows XP, Windows 7Education Details 
September 2015 Bachelor of Engineer Information technology Nagpur, Maharashtra Nagpur University
May 2011 HSC Secondary & Higher Secondary  State Board of Secondary
June 2009 SSC Secondary & Higher Secondary  Maharashtra State Board of Secondary
Web and Graphics Designer 

Web and Graphics Designer - Virtuous Media Point, Pune
Skill Details 
BOOTSTRAP- Exprience - 24 months
HTML5- Exprience - 24 months
JAVASCRIPT- Exprience - 24 months
jQuery- Exprience - 24 months
COREL DRAW- Exprience - 24 months
Adobe Photoshop- Exprience - 24 months
Adobe Illustrator- Exprience - 12 months
CSS3- Exprience - 24 monthsCompany Details 
company - Virtuous Media Point
description - 
company - CNC Web World
description - Internship Program: At e-sense IT Solution pvt.ltd. Nagpur as a Web Designing and Developement.
* Presented in Project Competition in Innovesta 15 of Priyadarshini Indira Gandhi College of Engineering, Nagpur.
* Presented in National Level Paper Presentation in TECH-WAVE 2015 of S.R.M.C.E., Nagpur.
company - e-sense IT Solution pvt.ltd
description - Key Result Areas:
* Designed websites solutions by studying information needs, conferring with users, and studying systems flow, data usage, and work processes.
* Understood process requirements and provided use cases for business, functional & technical requirements.
* Interacted with users for requirement gathering, prepared functional specifications and low-level design documents.
* Participated in the Software Development Life cycle (SDLC) and Agile methodology right from requirement analysis,
* Performed detailed design of modules along with their implementation, and documentation integrated software modules
Developed by other team members.

Highlights:
* Developed various modules as per customer requirement and identified and fixed number of bugs related to code, Database connectivity, UI Defects and so on.
* Analyzed and modified existing codes to incorporate a number of changes in the application / user requirements, wrote new codes as required.
* Coded, implemented and integrated complex programs using technologies such as HTML5, CSS3, JavaScript, jQuery, bootstrap.
* Having good command on Graphics designing with effective ideas.

PROJECTS

* www.nitka.com, Nagpur united corporation (admin), Mintmetrix.com, Tagline videos (admin), Smartbadge (admin): -
In all projects I have used technologies like HTML5, CSS3, Bootstrap, JavaScript, jQuery and text editor as sublime text.

* www.shreekiaspack.co.in, www.3staragroproducts.com, www.luckystationery.co.in: - used technologies like HTML5, CSS3,
Bootstrap, javascript and text editor as notepad++.

* Design various Logos, Brochures, Advertising Banners, Visiting Cards, Pamphlet, Hoardings etc.

B.E. FINAL YEAR PROJECT

* Major Project: -

Title: WEB BASED DISEASE DIAGNOSIS EXPERT SYSTEM.
Duration: 1 Year

Description: In this project we provide a website in which doctor gives online consultation for particular disease. System gives better suggestions for any health problems.

* Mini Project Development-

* SHOPPING MANAGEMENT SYSTEM Developed in C++.

CURRICULUM & EXTRA CURRICULUM  ACTIVITIES
company - FACE-IT
description - Co-ordinator in project competition.",483
Java Developer,"Technical Skills (Trained / Project Acquired Skills) â¢ Languages Known: C, C++, J2EE, Spring, Hibernate. â¢ Testing: Functional Testing, Manual Testing. â¢ Operating Systems: Windows & Linux. â¢ Packages: MS-office. â¢ Databases: My SQL & PostgreSQL.Education Details 
January 2013 to January 2017 B.E Computer Science and Engineering  RTMNU University - Jhulelal Institute of Technology
January 2011 to January 2013 HSC  Nagpur, Maharashtra Maharashtra State Board - Dayanand Arya Kanya Junior College
January 2010 to January 2011 SSC  Nagpur, Maharashtra Maharashtra State Board
Java Developer 

Java Developer - Inouvelle Ventures Private Limited
Skill Details 
J2EE- Exprience - 17 months
C++- Exprience - 6 months
DATABASES- Exprience - 6 months
FUNCTIONAL TESTING- Exprience - 6 months
LINUX- Exprience - 6 monthsCompany Details 
company - Inouvelle Ventures Private Limited
description - Nagpur.
1.   Project name: Stock Management System		December 2017 - Till Date
Language of implementation: Angular (Frontend), JAVA - J2EE, spring, Hibernate Framework (Backend)
& PostgresSql Database.
Role: Java Developer
Operating system: Windows XP/07/08
Description: Stock management System is Specially Developing for the Medicinal Market. This software is developing to keep the track of medicines, ailments, surgical Equipments, & also to keep the track of Wholesalers, Retailers, Employees, & Customers of the Company. Stock management system is the practice of ordering, storing, tracking, and controlling
inventory. Debtor invoicing software helps small businesses and freelancers keep track of company assets   .. Stock
management may also be called stock control, inventory management or inventory control.
company - Inouvelle Ventures Private Limited
description - Project Profile
company - Inouvelle Ventures Private Limited
description - Language of implementation: Angular (Frontend), JAVA - J2EE, spring, Hibernate Framework (Backend)
& PostgresSql Database.
Role: Java Developer, Manual Testing.
Operating system: Windows XP/07/08
Description: This Project is done for the Oldest Printing Press in Nagpur. The proposed web based Printing Press
Management System designed according to user and system requirement to fulfil the existing problems. This system offers the products and services that enhance organization growth, efficiency, and profitability.",329
